case,time,v(limit),v(clamp),v(in),i(vin),i(dp),i(cc),i(dc),i(rs),i(dn),i(rl)
2,0.008338636118871173,0.6065301341571607,4.903836055181301,2.546665933452453,-0.001989133142108196,0.001940135572821577,4.899734269353528e-05,4.101785493304901e-08,0.001940135799295292,-2.264738418819415e-10,4.903836055181301e-05
2,0.008339636118871173,0.6063058245310756,4.893333063377279,2.536652387700132,-0.00197923843093072,0.001930346327989052,4.889186763989972e-05,4.146299048845017e-08,0.001930346563169056,-2.351802059176729e-10,4.893333063377279e-05
2,0.008340636118871172,0.606078149762375,4.882730988604543,2.526538699254989,-0.00196924594748873,0.001920460376372835,4.87853978717312e-05,4.191201090551689e-08,0.001920460549492614,-1.731196750264092e-10,4.882730988604543e-05
2,0.008341636118871171,0.605847073992395,4.872030240017242,2.516325267388127,-0.001959156139731459,0.001910478012147609,4.867794620866395e-05,4.235618801402571e-08,0.001910478193395732,-1.812482994902763e-10,4.872030240017242e-05
2,0.00834263611887117,0.6056125605082605,4.861231230666085,2.506012495308371,-0.001948969442994262,0.001900399816203713,4.856950806420013e-05,4.280423900081703e-08,0.00190039993480011,-1.185970990332094e-10,4.861231230666086e-05
2,0.00834363611887117,0.605374571605844,4.850334377481925,2.495600790146245,-0.001938686315008828,0.001890226092421954,4.84600963356896e-05,4.324743574967422e-08,0.001890226218540402,-1.26118169788484e-10,4.850334377481925e-05
2,0.008344636118871169,0.605133068673036,4.839340101259488,2.48509056293809,-0.00192830720091472,0.001879957431419887,4.834970651396153e-05,4.369449538340199e-08,0.001879957494265054,-6.284561337976789e-11,4.839340101259488e-05
2,0.008345636118871168,0.6048880120504688,4.828248826640595,2.474482228609667,-0.001917832568271237,0.001869594146831632,4.823835157330425e-05,4.413668983981594e-08,0.001869594216559198,-6.97275349942571e-11,4.828248826640595e-05
2,0.008346636118871167,0.604639361112715,4.81706098209747,2.46377620595985,-0.001907262872070742,0.001859136839045261,4.812602708159641e-05,4.458273617826954e-08,0.001859136844847135,-5.801084822487759e-12,4.81706098209747e-05
2,0.008347636118871167,0.6043870741267371,4.805776999915816,2.452972917644083,-0.001896598589752073,0.001848585831506488,4.801274608939865e-05,4.502390638921301e-08,0.001848585843517346,-1.201033956084124e-11,4.805776999915816e-05
2,0.008348636118871166,0.6041311083305719,4.794397316177737,2.44207279015769,-0.001885840186217063,0.001837941734431636,4.789850424119502e-05,4.546891746850624e-08,0.001837941681827118,5.260454232028253e-11,4.794397316177738e-05
2,0.008349636118871165,0.6038714197893489,4.782922370744535,2.43107625381904,-0.0018749881488449,0.001827204881132971,4.778331466293029e-05,4.590904145891221e-08,0.001827204834029691,4.710355278373683e-11,4.782922370744535e-05
2,0.008350636118871164,0.6036079634713278,4.771352607239337,2.419983742752558,-0.001864042952511211,0.001816375891723898,4.766717307397306e-05,4.635299529225511e-08,0.001816375779281231,1.1244356777713e-10,4.771352607239338e-05
2,0.008351636118871164,0.6033406931012019,4.759688473029586,2.408795694871589,-0.001853005094606434,0.001805455109458176,4.755009267615184e-05,4.679205106339892e-08,0.001805455001770387,1.076886925802446e-10,4.759688473029586e-05
2,0.008352636118871163,0.6030695612331729,4.747930419209386,2.397512551861118,-0.001841875060055083,0.001794443164420123,4.74320692632757e-05,4.723492563948839e-08,0.001794442990627945,1.737928852424169e-10,4.747930419209386e-05
2,0.008353636118871162,0.6027945191012183,4.736078900581647,2.386134759160286,-0.001830653356338554,0.001783340409883261,4.731311611144706e-05,4.767289116748002e-08,0.001783340240059068,1.698244144231822e-10,4.736078900581648e-05
2,0.008354636118871162,0.6025155166889907,4.724134375640206,2.374662765944879,-0.001819340478517038,0.001772147485989417,4.71932290887489e-05,4.81146644489074e-08,0.001772147249255889,2.367343714735702e-10,4.724134375640206e-05
2,0.00835563611887116,0.6022325025769107,4.712097306551675,2.363097025109547,-0.001807936944254175,0.001760864756127911,4.707242154461388e-05,4.855151768245534e-08,0.001760864522532637,2.335952408197393e-10,4.712097306551675e-05
2,0.00835663611887116,0.6019454240082968,4.699968159137203,2.351437993249935,-0.001796443258844016,0.001749492870596336,4.695068942078828e-05,4.899216760406318e-08,0.001749492569241638,3.013553078117345e-10,4.699968159137204e-05
