case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(rs)_real,i(rs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
1,21.54434690031881,0.0,1.0,0.0,0.7819791919969856,-9.076407303382181e-07,-1.663785514889926,1.931150490084472e-06,0.0,0.0,-0.001663785514889926,1.931150490084473e-09,0.001663785514889327,-1.931150490081889e-09,0.001663785514887203,-1.931150490081315e-09,0.0,0.0,0.001663785514889926,-1.931150490084473e-09
1,22.38721138568337,0.0,1.0,0.0,0.7819791919970449,-9.431497267633875e-07,-1.663785514888647,2.006701546306663e-06,0.0,0.0,-0.001663785514888647,2.006701546306663e-09,0.001663785514887106,-2.006701546306393e-09,0.00166378551488733,-2.00670154630508e-09,0.0,0.0,0.001663785514888647,-2.006701546306663e-09
1,23.26305067153623,0.0,1.0,0.0,0.7819791919970522,-9.800479169356266e-07,-1.663785514887701,2.085208333906035e-06,0.0,0.0,-0.0016637855148877,2.085208333906035e-09,0.001663785514887106,-2.085208333902157e-09,0.001663785514887345,-2.085208333905589e-09,0.0,0.0,0.0016637855148877,-2.085208333906035e-09
1,24.17315480804101,0.0,1.0,0.0,0.7819791919967206,-1.018389649315226e-06,-1.663785514889288,2.16678648790818e-06,0.0,0.0,-0.001663785514889288,2.16678648790818e-09,0.001663785514887106,-2.166786487905549e-09,0.00166378551488664,-2.166786487904736e-09,0.0,0.0,0.001663785514889288,-2.16678648790818e-09
1,25.11886431509577,0.0,1.0,0.0,0.7819791919967533,-1.058231398597971e-06,-1.663785514887998,2.251556167231476e-06,0.0,0.0,-0.001663785514887998,2.251556167231477e-09,0.001663785514887106,-2.251556167228858e-09,0.001663785514886709,-2.251556167229726e-09,0.0,0.0,0.001663785514887998,-2.251556167231477e-09
1,26.10157215682533,0.0,1.0,0.0,0.7819791919965793,-1.099631848901772e-06,-1.663785514888214,2.339642231708529e-06,0.0,0.0,-0.001663785514888214,2.339642231708529e-09,0.001663785514887106,-2.339642231707112e-09,0.001663785514886339,-2.339642231705898e-09,0.0,0.0,0.001663785514888214,-2.339642231708529e-09
1,27.12272579332025,0.0,1.0,0.0,0.7819791919963351,-1.142651980201356e-06,-1.66378551488888,2.431174425964809e-06,0.0,0.0,-0.00166378551488888,2.43117442596481e-09,0.001663785514887106,-2.431174425963525e-09,0.001663785514885819,-2.431174425960332e-09,0.0,0.0,0.00166378551488888,-2.43117442596481e-09
1,28.1838293126445,0.0,1.0,0.0,0.7819791919961564,-1.187355158148529e-06,-1.663785514888948,2.526287570534112e-06,0.0,0.0,-0.001663785514888948,2.526287570534112e-09,0.001663785514887106,-2.526287570529776e-09,0.001663785514885439,-2.526287570528784e-09,0.0,0.0,0.001663785514888948,-2.526287570534112e-09
1,29.28644564625232,0.0,1.0,0.0,0.7819791919961785,-1.233807227405346e-06,-1.663785514887364,2.625121760439864e-06,0.0,0.0,-0.001663785514887364,2.625121760439864e-09,0.001663785514884886,-2.625121760437117e-09,0.001663785514885486,-2.625121760436905e-09,0.0,0.0,0.001663785514887364,-2.625121760439864e-09
1,30.43219887107717,0.0,1.0,0.0,0.7819791919959708,-1.282076608629768e-06,-1.663785514887436,2.727822571556616e-06,0.0,0.0,-0.001663785514887436,2.727822571556616e-09,0.001663785514884886,-2.727822571553599e-09,0.001663785514885044,-2.727822571552697e-09,0.0,0.0,0.001663785514887436,-2.727822571556616e-09
1,31.62277660168374,0.0,1.0,0.0,0.7819791919959506,-1.332234399251972e-06,-1.663785514885946,2.834541275005821e-06,0.0,0.0,-0.001663785514885946,2.834541275005821e-09,0.001663785514884886,-2.834541275001993e-09,0.001663785514885001,-2.834541275004197e-09,0.0,0.0,0.001663785514885946,-2.834541275005821e-09
1,32.85993247600649,0.0,1.0,0.0,0.7819791919956854,-1.384354478199021e-06,-1.663785514886207,2.945435060001059e-06,0.0,0.0,-0.001663785514886207,2.945435060001059e-09,0.001663785514884886,-2.945435059997217e-09,0.001663785514884437,-2.945435059997918e-09,0.0,0.0,0.001663785514886207,-2.945435060001059e-09
1,34.14548873833596,0.0,1.0,0.0,0.7819791919954505,-1.438513614710424e-06,-1.663785514886095,3.060667265345295e-06,0.0,0.0,-0.001663785514886095,3.060667265345295e-09,0.001663785514884886,-3.060667265340442e-09,0.001663785514883937,-3.060667265341327e-09,0.0,0.0,0.001663785514886095,-3.060667265345295e-09
1,35.48133892335748,0.0,1.0,0.0,0.7819791919952367,-1.494791581415754e-06,-1.663785514885667,3.180407620037709e-06,0.0,0.0,-0.001663785514885667,3.180407620037709e-09,0.001663785514884886,-3.180407620035741e-09,0.001663785514883482,-3.18040762003352e-09,0.0,0.0,0.001663785514885667,-3.180407620037709e-09
1,36.86945064519569,0.0,1.0,0.0,0.781979191994893,-1.553271271833967e-06,-1.663785514886074,3.30483249327034e-06,0.0,0.0,-0.001663785514886074,3.30483249327034e-09,0.001663785514884886,-3.304832493266449e-09,0.001663785514882751,-3.30483249326376e-09,0.0,0.0,0.001663785514886074,-3.30483249327034e-09
