case,time,v(b),v(plus),v(sum),v(vn),v(a),v(out),v(vp),i(vp),i(v1),i(r1),i(rf),i(r3),i(vn),i(v2),i(r2)
1,0.0020765000000000098,0.0,0.02311827196069245,0.02310933583526284,-12.0,0.04623677510410452,0.04621890276388405,12.0,-0.001148668159731431,-2.311850314341207e-06,-2.310933583526285e-06,2.31095669286212e-06,2.311827196069245e-06,0.001146357712600232,2.310933583526285e-06,2.311850314341207e-06
1,0.00207750000000001,0.0,0.02339637373116273,0.02338746633554499,-12.0,0.04679298142606278,0.04677516654575333,12.0,-0.001148681852048178,-2.339660769490005e-06,-2.338746633554499e-06,2.338770021020834e-06,2.339637373116273e-06,0.001146343597721472,2.338746633554498e-06,2.339660769490005e-06
1,0.00207850000000001,0.0,0.02367355185285911,0.02366467353870182,-12.0,0.04734734044123676,0.04732958372413903,12.0,-0.001148695496395926,-2.367378858837764e-06,-2.366467353870182e-06,2.366491018543721e-06,2.367355185285912e-06,0.001146329527183986,2.366467353870181e-06,2.367378858837764e-06
1,0.00207950000000001,0.0,0.02394979538326388,0.02394094650106774,-12.0,0.0478998302644816,0.04788213241160049,12.0,-0.001148709092261253,-2.395003488121772e-06,-2.394094650106774e-06,2.394118591053275e-06,2.394979538326388e-06,0.001146315501568494,2.394094650106774e-06,2.395003488121772e-06
1,0.0020805000000000103,0.0,0.02422509341675569,0.02421627431585932,-12.0,0.04845042908444555,0.04843279079446182,12.0,-0.001148722639132865,-2.422533566768987e-06,-2.421627431585932e-06,2.42165164786025e-06,2.422509341675569e-06,0.00114630152145415,2.421627431585935e-06,2.422533566768986e-06
1,0.0020815000000000104,0.0,0.02449943508503925,0.02449064611360579,-12.0,0.04899911516442935,0.04898153713367272,12.0,-0.00114873613650161,-2.44996800793901e-06,-2.449064611360579e-06,2.449089102006693e-06,2.449943508503925e-06,0.001146287587418519,2.449064611360576e-06,2.44996800793901e-06
1,0.0020825000000000106,0.0,0.02477280955757549,0.02476405106257831,-12.0,0.04954586684324655,0.04952834976566726,12.0,-0.001148749583860491,-2.477305728567107e-06,-2.476405106257832e-06,2.476429870308895e-06,2.477280955757549e-06,0.001146273700037549,2.476405106257832e-06,2.477305728567106e-06
1,0.0020835000000000107,0.0,0.02504520604200816,0.02503647836921778,-12.0,0.05009066253607674,0.05007320710321925,12.0,-0.001148762980704687,-2.504545649406859e-06,-2.503647836921778e-06,2.503672873400147e-06,2.504520604200816e-06,0.001146259859885547,2.503647836921778e-06,2.504545649406858e-06
1,0.002084500000000011,0.0,0.02531661378459062,0.0253079172785605,-12.0,0.05063348073531909,0.05061608763629379,12.0,-0.00114877632653156,-2.531686695072847e-06,-2.530791727856051e-06,2.530817035773329e-06,2.531661378459062e-06,0.001146246067535148,2.53079172785605e-06,2.531686695072847e-06
1,0.002085500000000011,0.0,0.02558702207060978,0.02557835707466318,-12.0,0.05117430001144028,0.05115696993289711,12.0,-0.001148789620840684,-2.558727794083049e-06,-2.557835707466319e-06,2.557861285823393e-06,2.558702207060979e-06,0.001146232323557289,2.557835707466319e-06,2.55872779408305e-06
1,0.002086500000000011,0.0,0.02585642022480967,0.02584778708102573,-12.0,0.0517130990138216,0.05169583263992229,12.0,-0.001148802863133848,-2.585667878901192e-06,-2.584778708102573e-06,2.584804555889656e-06,2.585642022480967e-06,0.001146218628521191,2.584778708102571e-06,2.585667878901193e-06
1,0.0020875000000000112,0.0,0.02612479761181229,0.02611619666101284,-12.0,0.05224985647160071,0.05223265448399231,12.0,-0.001148816052915077,-2.612505885978842e-06,-2.611619666101284e-06,2.611645782297947e-06,2.61247976118123e-06,0.001146204982994315,2.611619666101282e-06,2.612505885978842e-06
