case,time,v(out),v(vn),v(in),v(vp),i(vp),i(vin),i(rl),i(vn)
2,9.121000000000179e-05,-0.4349231159957396,-12.0,3.445569041940824,12.0,-0.001125148391277361,-3.445569041940825e-09,-4.349231159957397e-05,0.001168639786377133
2,9.12300000000018e-05,-0.4249523002157528,-12.0,3.490827094971368,12.0,-0.001125675073325252,-3.490827094971368e-09,-4.249523002157529e-05,0.001168169532110505
2,9.12500000000018e-05,-0.4149814247251399,-12.0,3.535533905936715,12.0,-0.001126201172012432,-3.535533905936715e-09,-4.149814247251399e-05,0.001167698687960721
2,9.12700000000018e-05,-0.4050106290633048,-12.0,3.579682415113105,12.0,-0.001126726553951241,-3.579682415113105e-09,-4.050106290633049e-05,0.001167227134487019
2,9.12900000000018e-05,-0.395039774357405,-12.0,3.623265650939128,12.0,-0.001127251349034658,-3.623265650939129e-09,-3.95039774357405e-05,0.001166754987688139
2,9.131000000000181e-05,-0.3850689990395192,-12.0,3.666276731116665,12.0,-0.001127775431031531,-3.666276731116665e-09,-3.850689990395193e-05,0.001166282135169217
2,9.133000000000181e-05,-0.375098165339394,-12.0,3.708708863697481,12.0,-0.001128298922726669,-3.708708863697482e-09,-3.75098165339394e-05,0.001165808685931261
2,9.135000000000181e-05,-0.3651274105910459,-12.0,3.750555348156051,12.0,-0.001128821704939959,-3.75055534815605e-09,-3.65127410591046e-05,0.001165334534520869
2,9.137000000000182e-05,-0.3551565981175951,-12.0,3.79180957644733,12.0,-0.00112934389345282,-3.79180957644733e-09,-3.551565981175951e-05,0.00116485978304515
2,9.139000000000182e-05,-0.3451858641641736,-12.0,3.832465034050412,12.0,-0.00112986537603206,-3.832465034050414e-09,-3.451858641641736e-05,0.001164384332888919
2,9.141000000000182e-05,-0.3352150731381439,-12.0,3.872515300997297,12.0,-0.001130386261559216,-3.872515300997297e-09,-3.352150731381439e-05,0.001163908279368027
2,9.143000000000183e-05,-0.3252443602048481,-12.0,3.911954052886488,12.0,-0.00113090644464512,-3.911954052886488e-09,-3.252443602048482e-05,0.001163431530603521
2,9.145000000000183e-05,-0.3152735908468419,-12.0,3.950775061881962,12.0,-0.001131426027373698,-3.950775061881962e-09,-3.152735908468419e-05,0.001162954175221345
2,9.147000000000183e-05,-0.3053028991586904,-12.0,3.988972197696327,12.0,-0.001131944911098155,-3.988972197696326e-09,-3.053028991586904e-05,0.001162476127978025
2,9.149000000000184e-05,-0.2953321516891756,-12.0,4.026539428559022,12.0,-0.001132463191205822,-4.026539428559022e-09,-2.953321516891756e-05,0.001161997470909766
2,9.151000000000184e-05,-0.2853614814710162,-12.0,4.063470822168841,12.0,-0.001132980775691874,-4.063470822168842e-09,-2.853614814710162e-05,0.001161518125309055
2,9.153000000000184e-05,-0.2753907561103351,-12.0,4.099760546630551,12.0,-0.00113349775334687,-4.099760546630552e-09,-2.753907561103351e-05,0.001161038166721239
2,9.155000000000185e-05,-0.2654201075868538,-12.0,4.135402871376057,12.0,-0.001134014038708732,-4.135402871376058e-09,-2.654201075868538e-05,0.001160557522876486
2,9.157000000000185e-05,-0.255449404555232,-12.0,4.170392168069061,12.0,-0.001134529714069833,-4.170392168069061e-09,-2.55449404555232e-05,0.001160076262926997
2,9.159000000000185e-05,-0.2454787779509629,-12.0,4.204722911493988,12.0,-0.001135044700412861,-4.204722911493989e-09,-2.45478777950963e-05,0.001159594320943506
2,9.161000000000186e-05,-0.2355080974685181,-12.0,4.238389680428513,12.0,-0.001135559073629402,-4.238389680428514e-09,-2.355080974685182e-05,0.001159111759781598
2,9.163000000000186e-05,-0.2255374930078532,-12.0,4.27138715849949,12.0,-0.001136072761050107,-4.27138715849949e-09,-2.255374930078532e-05,0.001158628519756622
2,9.165000000000186e-05,-0.2155668352946048,-12.0,4.303710135022686,12.0,-0.001136585832261975,-4.303710135022687e-09,-2.155668352946048e-05,0.001158144657522925
2,9.167000000000187e-05,-0.2055962532018024,-12.0,4.335353505825353,12.0,-0.001137098220847999,-4.335353505825354e-09,-2.055962532018024e-05,0.001157660119545694
2,9.169000000000187e-05,-0.1956256184776801,-12.0,4.366312274052455,12.0,-0.001137609990185641,-4.366312274052455e-09,-1.956256184776801e-05,0.00115717495637222
2,9.171000000000187e-05,-0.1856550589768747,-12.0,4.396581550955586,12.0,-0.001138121080015762,-4.396581550955587e-09,-1.856550589768747e-05,0.001156689120523935
2,9.173000000000187e-05,-0.1756844474617277,-12.0,4.42615655666503,12.0,-0.001138631547600171,-4.42615655666503e-09,-1.756844474617277e-05,0.001156202656534117
2,9.175000000000188e-05,-0.1657139107769398,-12.0,4.455032620944509,12.0,-0.001139141338744281,-4.455032620944511e-09,-1.657139107769399e-05,0.001155715522887957
2,9.177000000000188e-05,-0.1557433226905456,-12.0,4.483205183928781,12.0,-0.001139650504687017,-4.483205183928781e-09,-1.557433226905456e-05,0.001155227758196645
2,9.179000000000188e-05,-0.1457728090456906,-12.0,4.510669796843564,12.0,-0.001140158997206129,-4.510669796843564e-09,-1.457728090456906e-05,0.001154739326817785
2,9.181000000000189e-05,-0.1358022446077643,-12.0,4.53742212270808,12.0,-0.001140666861609289,-4.53742212270808e-09,-1.358022446077643e-05,0.001154250261531256
2,9.183000000000189e-05,-0.1258317542266621,-12.0,4.56345793701994,12.0,-0.001141174055555536,-4.56345793701994e-09,-1.258317542266621e-05,0.001153760532476853
2,9.18500000000019e-05,-0.1158612136568652,-12.0,4.588773128422262,12.0,-0.001141680618511781,-4.588773128422261e-09,-1.158612136568652e-05,0.001153270166692835
2,9.18700000000019e-05,-0.1058907467632493,-12.0,4.613363699352861,12.0,-0.001142186513928388,-4.613363699352862e-09,-1.058907467632493e-05,0.00115277914001205
2,9.18900000000019e-05,-0.0959202302811989,-12.0,4.637225766675535,12.0,-0.001142691775520931,-4.637225766675536e-09,-9.592023028119891e-06,0.001152287473819725
2,9.19100000000019e-05,-0.08594978709872614,-12.0,4.660355562293226,12.0,-0.001143196372442228,-4.660355562293227e-09,-8.594978709872614e-06,0.001151795149553719
2,9.19300000000019e-05,-0.07597929492400352,-12.0,4.68274943374306,12.0,-0.00114370033274483,-4.68274943374306e-09,-7.597929492400352e-06,0.001151302183033739
2,9.195000000000191e-05,-0.06600887567626303,-12.0,4.704403844773155,12.0,-0.001144203631196235,-4.704403844773156e-09,-6.600887567626303e-06,0.001150808561215675
2,9.197000000000191e-05,-0.056038408028423,-12.0,4.725315375900979,12.0,-0.001144706290273213,-4.725315375900979e-09,-5.603840802842301e-06,0.001150314294440169
2,9.199000000000192e-05,-0.04606801293894591,-12.0,4.745480724953367,12.0,-0.001145208290271225,-4.745480724953369e-09,-4.606801293894591e-06,0.001149819375095227
2,9.201000000000192e-05,-0.03609757003752562,-12.0,4.764896707587925,12.0,-0.00114570964817745,-4.764896707587925e-09,-3.609757003752563e-06,0.001149323808127808
2,9.203000000000192e-05,-0.02612719932979413,-12.0,4.78356025779591,12.0,-0.001146210349729648,-4.783560257795911e-09,-2.612719932979413e-06,0.001148827591273176
2,9.205000000000193e-05,-0.01615678139432215,-12.0,4.801468428386389,12.0,-0.001146710406510538,-4.801468428386388e-09,-1.615678139432215e-06,0.001148330724168956
2,9.207000000000193e-05,-0.006186435291778949,-12.0,4.818618391451658,12.0,-0.001147209809615573,-4.81861839145166e-09,-6.18643529177895e-07,0.001147833209813841
2,9.209000000000193e-05,0.003783957458215834,-12.0,4.835007438813721,12.0,-0.001147708565307101,-4.83500743881372e-09,3.783957458215834e-07,0.001147335042619431
2,9.211000000000194e-05,0.01375427873215819,-12.0,4.850632982452008,12.0,-0.001148206669954684,-4.850632982452009e-09,1.375427873215819e-06,0.001146836230765054
2,9.213000000000194e-05,0.02372464607713755,-12.0,4.865492554912036,12.0,-0.001148704124583374,-4.865492554912037e-09,2.372464607713755e-06,0.00114633676351858
2,9.215000000000194e-05,0.03369494229908739,-12.0,4.879583809695057,12.0,-0.001149200930754277,-4.879583809695057e-09,3.369494229908739e-06,0.001145836654158181
2,9.217000000000194e-05,0.04366528401949487,-12.0,4.892904521628613,12.0,-0.001149697084337201,-4.892904521628613e-09,4.366528401949487e-06,0.00114533588688929
2,9.219000000000195e-05,0.05363555496607197,-12.0,4.905452587217854,12.0,-0.001150192592003246,-4.905452587217855e-09,5.363555496607197e-06,0.001144834480008127
2,9.221000000000195e-05,0.06360587084232382,-12.0,4.917226024977762,12.0,-0.001150687444548029,-4.917226024977764e-09,6.360587084232382e-06,0.001144332412737984
2,9.223000000000195e-05,0.07357611629015029,-12.0,4.928222975746027,12.0,-0.001151181653672082,-4.928222975746027e-09,7.357611629015029e-06,0.001143829708313341
2,9.225000000000196e-05,0.08354640610262645,-12.0,4.938441702976643,12.0,-0.001151675205176897,-4.938441702976644e-09,8.354640610262646e-06,0.001143326341054645
2,9.227000000000196e-05,0.09351662582831724,-12.0,4.947880593014139,12.0,-0.001152168115712863,-4.947880593014139e-09,9.351662582831724e-06,0.001142822339055819
2,9.229000000000196e-05,0.1034868893573524,-12.0,4.956538155348344,12.0,-0.001152660366166433,-4.956538155348345e-09,1.034868893573524e-05,0.001142317671812803
