case,time,v(offset),v(sum),v(vn),v(in),v(out),v(vp),i(vp),i(v1),i(r1),i(r2),i(vn),i(v2),i(rf)
1,0.003430500000000189,-0.5,-1.859125255904148e-05,-12.0,0.08458691941684503,0.4153573066395653,12.0,-0.001167724549399105,-8.46055106694041e-06,8.460551066940407e-06,-4.99981408747441e-05,0.0011261911255185,4.99981408747441e-05,4.153758978921244e-05
1,0.00343150000000019,-0.5,-1.864537778939468e-05,-12.0,0.08344654273213686,0.4164975209480413,12.0,-0.00116777845654523,-8.346518810992628e-06,8.346518810992627e-06,-4.999813546222106e-05,0.001126131017257285,4.999813546222106e-05,4.165161663258307e-05
1,0.0034325000000001897,-0.5,-1.869878673768643e-05,-12.0,0.08230287172080437,0.4176410317319947,12.0,-0.001167832510951827,-8.232157050754212e-06,8.232157050754207e-06,-4.999813012132623e-05,0.001126070726713703,4.999813012132623e-05,4.176597305187324e-05
1,0.00343350000000019,-0.5,-1.875147729510362e-05,-12.0,0.08115595153302207,0.4187877938475778,12.0,-0.001167886710411334,-8.117470301031716e-06,8.117470301031718e-06,-4.999812485227049e-05,0.001126010256194319,4.999812485227049e-05,4.18806545324873e-05
1,0.00343450000000019,-0.5,-1.880344738172668e-05,-12.0,0.0800058274472345,0.4199377620225858,12.0,-0.001167941052711296,-8.00246308946163e-06,8.002463089461623e-06,-4.999811965526183e-05,0.001125949608013623,4.999811965526183e-05,4.199565654699676e-05
1,0.00343550000000019,-0.5,-1.88546949456414e-05,-12.0,0.07885254486837057,0.4210908908582456,12.0,-0.001167995535634372,-7.887139956331618e-06,7.887139956331622e-06,-4.999811453050544e-05,0.001125888784493968,4.999811453050544e-05,4.211097455531913e-05
1,0.0034365000000001903,-0.5,-1.890521796382716e-05,-12.0,0.07769614932605307,0.4222471348310032,12.0,-0.001168050156958578,-7.77150545440169e-06,7.771505454401689e-06,-4.999810947820362e-05,0.001125827787965408,4.999810947820362e-05,4.22266040048967e-05
1,0.00343750000000019,-0.5,-1.895501444151848e-05,-12.0,0.07653668647279664,0.4234064482943286,12.0,-0.001168104914457253,-7.655564148723818e-06,7.655564148723817e-06,-4.999810449855585e-05,0.001125766620765706,4.999810449855585e-05,4.234254033087701e-05
1,0.00343850000000019,-0.5,-1.900408241298224e-05,-12.0,0.07537420208221138,0.4245687854805088,12.0,-0.001168159805899231,-7.539320616462434e-06,7.539320616462436e-06,-4.999809959175871e-05,0.001125705285240211,4.999809959175871e-05,4.245877895629217e-05
1,0.003439500000000191,-0.5,-1.905241994104578e-05,-12.0,0.0742087420471879,0.4257341005024647,12.0,-0.001168214829048931,-7.422779446712895e-06,7.422779446712895e-06,-4.99980947580059e-05,0.001125643783741758,4.99980947580059e-05,4.257531529224058e-05
1,0.003440500000000191,-0.5,-1.910002511720799e-05,-12.0,0.07304035237809478,0.4269023473555532,12.0,-0.001168269981666425,-7.305945240321202e-06,7.3059452403212e-06,-4.999808999748829e-05,0.001125582118630633,4.999808999748828e-05,4.269214473806704e-05
