case,vg,v(gate),v(drain),i(vd),id(j1),i(vg)
1,-0.05000000000000004,-0.05000000000000004,3.0,-0.005789306253051,0.005789306253051,3.101855303634909e-12
1,-0.04000000000000004,-0.04000000000000004,3.0,-0.005848836003041,0.005848836003040999,3.081787006624092e-12
1,-0.03000000000000003,-0.03000000000000003,3.0,-0.005908670253031001,0.005908670253031,3.061686473270062e-12
1,-0.02000000000000002,-0.02000000000000002,3.0,-0.005968809003021,0.005968809003021,3.041538487946085e-12
1,-0.01000000000000001,-0.01000000000000001,3.0,-0.006029252253011001,0.006029252253011001,3.021320653215276e-12
1,0.0,0.0,3.0,-0.006090000003001,0.006090000003001,3.001e-12
2,-2.0,-2.0,6.0,-8.001e-12,8.001e-12,1.0002e-11
2,-1.99,-1.99,6.0,-1.545079910000125e-07,1.545079910000003e-07,9.982000000000002e-12
2,-1.98,-1.98,6.0,-6.180079809999753e-07,6.180079810000013e-07,9.962000000000001e-12
2,-1.97,-1.97,6.0,-1.390507970999965e-06,1.390507971000003e-06,9.942000000000001e-12
2,-1.96,-1.96,6.0,-2.47200796100005e-06,2.472007961000005e-06,9.922e-12
2,-1.95,-1.95,6.0,-3.862507950999985e-06,3.862507951000007e-06,9.902e-12
2,-1.94,-1.94,6.0,-5.562007941000043e-06,5.56200794100001e-06,9.882e-12
2,-1.93,-1.93,6.0,-7.570507930999978e-06,7.570507931000014e-06,9.862000000000001e-12
2,-1.92,-1.92,6.0,-9.888007921000008e-06,9.88800792100002e-06,9.842000000000001e-12
2,-1.91,-1.91,6.0,-1.251450791099997e-05,1.251450791100002e-05,9.822e-12
2,-1.9,-1.9,6.0,-1.545000790100003e-05,1.545000790100003e-05,9.802000000000002e-12
2,-1.89,-1.89,6.0,-1.869450789100007e-05,1.869450789100004e-05,9.782000000000002e-12
2,-1.88,-1.88,6.0,-2.224800788099999e-05,2.224800788100004e-05,9.762000000000001e-12
2,-1.87,-1.87,6.0,-2.611050787099979e-05,2.611050787099996e-05,9.742000000000001e-12
2,-1.86,-1.86,6.0,-3.028200786100001e-05,3.028200786100006e-05,9.722e-12
2,-1.85,-1.85,6.0,-3.476250785099989e-05,3.476250785099997e-05,9.702e-12
2,-1.84,-1.84,6.0,-3.955200784099997e-05,3.955200784099996e-05,9.682000000000002e-12
2,-1.83,-1.83,6.0,-4.465050783099994e-05,4.465050783099996e-05,9.662000000000001e-12
2,-1.82,-1.82,6.0,-5.00580078210001e-05,5.005800782099997e-05,9.642000000000001e-12
2,-1.81,-1.81,6.0,-5.577450781100004e-05,5.577450781099997e-05,9.622e-12
2,-1.8,-1.8,6.0,-6.180000780099996e-05,6.180000780099997e-05,9.602000000000002e-12
2,-1.79,-1.79,6.0,-6.813450779100008e-05,6.813450779099999e-05,9.582e-12
2,-1.78,-1.78,6.0,-7.477800778099997e-05,7.4778007781e-05,9.562000000000001e-12
2,-1.77,-1.77,6.0,-8.173050777100007e-05,8.173050777099999e-05,9.542000000000001e-12
2,-1.76,-1.76,6.0,-8.899200776100015e-05,8.8992007761e-05,9.522000000000001e-12
2,-1.75,-1.75,6.0,-9.656250775100022e-05,9.6562507751e-05,9.502e-12
2,-1.74,-1.74,6.0,-0.0001044420077409998,0.000104442007741,9.482e-12
2,-1.73,-1.73,6.0,-0.0001126305077310001,0.000112630507731,9.462000000000001e-12
2,-1.72,-1.72,6.0,-0.0001211280077210001,0.000121128007721,9.442000000000001e-12
2,-1.71,-1.71,6.0,-0.0001299345077110001,0.000129934507711,9.422000000000001e-12
2,-1.7,-1.7,6.0,-0.0001390500077010001,0.000139050007701,9.402e-12
2,-1.69,-1.69,6.0,-0.0001484745076909999,0.0001484745076910001,9.382000000000002e-12
2,-1.68,-1.68,6.0,-0.0001582080076810001,0.0001582080076810001,9.362e-12
2,-1.67,-1.67,6.0,-0.0001682505076710003,0.0001682505076710001,9.342000000000001e-12
