case,vtest,v(ref),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vtest),i(rr),ic(q2),ib(q2)
1,3.075,4.307451987391035,3.075,5.0,-0.00861061573687194,-0.004250774987416229,-2.833850060864887e-05,0.004303163749480809,0.004307451987391036,-0.004303163749480737,-2.833849936620489e-05
1,3.1,4.307451987391185,3.1,5.0,-0.008609553043075424,-0.004250774987391725,-2.833850060849621e-05,0.004302101055684071,0.004307451987391186,-0.004302101055684056,-2.833849939105221e-05
1,3.125,4.307451987391334,3.125,5.0,-0.008608490349278686,-0.00425077498736731,-2.833850060831027e-05,0.004301038361887555,0.004307451987391334,-0.004301038361887537,-2.833849941588011e-05
1,3.15,4.307451987391483,3.15,5.0,-0.00860742765548217,-0.004250774987342683,-2.833850060815588e-05,0.004299975668090705,0.004307451987391483,-0.004299975668090789,-2.833849944069804e-05
1,3.175,4.307451987391631,3.175,5.0,-0.008606364961686541,-0.004250774987318432,-2.833850060798718e-05,0.004298912974294411,0.004307451987391631,-0.004298912974294416,-2.833849946554318e-05
1,3.2,4.307451987391781,3.2,5.0,-0.008605302267890025,-0.004250774987293916,-2.833850060781826e-05,0.004297850280497895,0.004307451987391782,-0.0042978502804978,-2.833849949038811e-05
1,3.225,4.30745198739193,3.225,5.0,-0.008604239574093064,-0.004250774987269084,-2.833850060767417e-05,0.004296787586701045,0.004307451987391931,-0.004296787586700912,-2.833849951521634e-05
1,3.25,4.30745198739208,3.25,5.0,-0.008603176880296326,-0.004250774987244427,-2.833850060752054e-05,0.004295724892904307,0.004307451987392081,-0.00429572489290418,-2.83384995400488e-05
1,3.275,4.307451987392229,3.275,5.0,-0.00860211418649981,-0.004250774987220052,-2.833850060735086e-05,0.004294662199107679,0.004307451987392229,-0.004294662199107733,-2.833849956490684e-05
1,3.3,4.307451987392377,3.3,5.0,-0.008601051492703737,-0.004250774987195665,-2.83385006071788e-05,0.004293599505311274,0.004307451987392377,-0.004293599505311313,-2.833849958972098e-05
1,3.325,4.307451987392525,3.325,5.0,-0.008599988798907887,-0.004250774987171291,-2.833850060700901e-05,0.004292536811514758,0.004307451987392526,-0.00429253681151489,-2.833849961456504e-05
1,3.35,4.307451987392676,3.35,5.0,-0.008598926105110705,-0.004250774987146481,-2.833850060685549e-05,0.004291474117718019,0.004307451987392677,-0.004291474117718067,-2.833849963941148e-05
1,3.375,4.307451987392827,3.375,5.0,-0.008597863411314632,-0.004250774987121962,-2.833850060670294e-05,0.004290411423921614,0.004307451987392827,-0.004290411423921536,-2.833849966423115e-05
