case,time,v(drive),v(out),v(gate),v(vdd),i(vdd),i(rg),i(rl),i(cgs),i(vin),id(m1),i(cgd)
3,1.800007246814851e-05,0.0289872594027088,11.99988866854237,0.02211451234342343,12.0,-9.277621469294672e-06,1.462286608358589e-05,9.277621469442702e-06,2.318975381687682e-05,-1.462286608358494e-05,7.107337829381777e-07,-8.566887728989059e-06
3,1.800021740444552e-05,0.0869617782081264,11.9998969203403,0.02212058566167041,12.0,-8.589971639327842e-06,0.0001379599841413957,8.589971641400258e-06,0.0001444236978138669,-0.0001379599841413853,2.126258191736952e-06,-6.463713674520477e-06
3,1.800050727703955e-05,0.2029108158203168,11.99993727536186,0.02215895057948636,12.0,-5.227053127998538e-06,0.000384578436682618,5.227053178291641e-06,0.0003849801676943931,-0.000384578436682362,4.825323784984903e-06,-4.017310075710157e-07
3,1.800087559019117e-05,0.3502360764687934,12.00003218516258,0.02225766532746976,12.0,2.682097055783927e-06,0.0006978264066836673,-2.682096881626942e-06,0.0006870939422817246,-0.0006978264066827782,8.050372013457263e-06,1.073246440341791e-05
3,1.800161221649441e-05,0.6448865977657465,12.00035467912955,0.02262002601402457,12.0,2.95565956935917e-05,0.001323971429258983,-2.955659412921344e-05,0.001280583234317276,-0.001323971429250999,1.383162118173686e-05,4.338819492843982e-05
3,1.80030854691009e-05,1.234187640359653,12.00144612328397,0.02398711779086771,12.0,0.0001205102903258926,0.002574894728869756,-0.0001205102736638134,0.002431181654597464,-0.002574894728784724,2.320290901636213e-05,0.0001437130741859249
3,1.800446024605379e-05,1.784098421515196,12.00290288708136,0.02601495073064131,12.0,0.0002419072729564764,0.003740603129328839,-0.0002419072567798608,0.003468926029361191,-0.003740603129246283,2.976995601144949e-05,0.0002716770998869578
3,1.800622741058719e-05,2.490964234877556,12.0052272127259,0.02965273719602246,12.0,0.0004356010771429109,0.005236832973790496,-0.0004356010604915639,0.004765251346700874,-0.005236832973705531,3.598065685395113e-05,0.0004715816270053352
3,1.800793502625882e-05,3.174010503529518,12.00782960202318,0.0342432107663706,12.0,0.0006524668456497906,0.006680355942049249,-0.0006524668352652085,0.005987691976805348,-0.006680355941996259,4.019718824466167e-05,0.0006926639651902988
3,1.801021216632009e-05,4.084866528036401,12.01166560621613,0.04197038209979409,12.0,0.0009721338617989517,0.008601906693482144,-0.0009721338513442035,0.00758577506307842,-0.008601906693428809,4.399782307373812e-05,0.001016131630349193
3,1.80126559198559e-05,5.062367942359103,12.01609116765552,0.05226965913061754,12.0,0.001340930645340022,0.0106597835813372,-0.001340930637960073,0.009272352279969212,-0.01065978358129956,4.65006923633382e-05,0.001387431301329123
3,1.801596460802467e-05,6.385843209868222,12.02237505462072,0.06947356436611507,12.0,0.001864587891188263,0.01343908435213214,-0.001864587885060202,0.01152610849552593,-0.01343908435210089,4.83879892598793e-05,0.001912975856575461
3,1.80198383091504e-05,7.935323660161427,12.02995638161163,0.09432659884923611,12.0,0.002496365137800272,0.016682972470877,-0.002496365134302477,0.01413723898742301,-0.01668297247085917,4.936835775737336e-05,0.002545733483435786
3,1.802e-05,7.999999999999924,12.03027614179473,0.09547391557299356,12.0,0.002523011816228049,0.01681814060516368,-0.002523011816227457,0.01424573325803413,-0.01681814060516368,4.939553086558135e-05,0.002572407347145145
3,1.802001616908496e-05,8.0,12.03030802205497,0.09558906361822217,12.0,0.002525668504580914,0.01681789560932293,-0.002525668504581061,0.01424298845805438,-0.01681789560932293,4.923864667105704e-05,0.002574907151313255
3,1.802004850725488e-05,8.0,12.03037157734045,0.09581931549319922,12.0,0.00253096477837067,0.0168174057117166,-0.002530964778370966,0.01423751931973705,-0.0168174057117166,4.892161351577329e-05,0.002579886391970376
3,1.802011318359472e-05,8.0,12.03049746428457,0.09627955551417422,12.0,0.002541455357047528,0.01681642647762942,-0.002541455357047676,0.01422667776513631,-0.01681642647762942,4.829335544798141e-05,0.002589748712523487
3,1.802024253627439e-05,8.0,12.03074442036629,0.09719899605210358,12.0,0.002562035030524434,0.01681447022116574,-0.002562035030523842,0.01420537451939952,-0.01681447022116573,4.706067127102642e-05,0.00260909570177148
3,1.802050124163375e-05,8.0,12.03121965780863,0.09903383897187457,12.0,0.002601638150750762,0.01681056630005984,-0.002601638150718788,0.01416424139320749,-0.01681056630005968,4.468675731672533e-05,0.002646324906855568
3,1.802101865235245e-05,8.0,12.03209994643823,0.1026882789587789,12.0,0.002674995536966263,0.01680279089583239,-0.002674995536519138,0.01408751185424317,-0.0168027908958301,4.028351332507896e-05,0.002715279041588303
3,1.802205347378987e-05,8.0,12.03361213551463,0.1099426775938714,12.0,0.002801011298228628,0.01678735600511942,-0.002801011292886013,0.01395364921087705,-0.01678735600509215,3.269555088891707e-05,0.002833706794215018
3,1.80241231166647e-05,8.0,12.03585265357859,0.1242756908321709,12.0,0.002987721180223613,0.01675686023227198,-0.002987721131548918,0.01374777416983747,-0.01675686023202364,2.13651563996109e-05,0.003009086062187194
3,1.802694412713179e-05,8.0,12.0377223045284,0.1435350127988655,12.0,0.003143525482059761,0.01671588295149178,-0.00314352537736647,0.01356062840635558,-0.01671588295095781,1.172952357464396e-05,0.003155254544600972
3,1.803009930901956e-05,8.0,12.03882871731628,0.164824372062057,12.0,0.003235726513588499,0.01667058644242116,-0.00323572644302302,0.01342907991514689,-0.0166705864420613,5.780298550916996e-06,0.00324150652691424
3,1.803396263682466e-05,8.0,12.03944119590056,0.1906659610525883,12.0,0.003286766363083782,0.01661560433818599,-0.003286766325046949,0.01332670224207977,-0.01661560433799207,2.135865440067164e-06,0.00328890209591215
3,1.803879090115675e-05,8.0,12.0396689138825,0.2227354272598503,12.0,0.003305742842228065,0.01654737143136202,-0.003305742823541902,0.013241409327717,-0.0165473714312668,2.193170978159742e-07,0.003305962103549831
3,1.804379090115675e-05,8.0,12.03964290665957,0.2557547148745529,12.0,0.003303575559343574,0.01647711762792648,-0.003303575554964559,0.01317402080951294,-0.01647711762790417,-4.787281682183675e-07,0.00330309681839136
3,1.804879090115676e-05,8.0,12.03952334416326,0.2886151218715742,12.0,0.003293612014154901,0.01640720186835835,-0.003293612013604748,0.01311430479754902,-0.01640720186835555,-7.149417946550329e-07,0.003292897070807044
3,1.805379090115676e-05,8.0,12.03937229112673,0.3213297094954037,12.0,0.003281024260631371,0.01633759636277574,-0.003281024260560983,0.01305736530270402,-0.01633759636277538,-7.932003498467566e-07,0.003280231060071248
3,1.805879090115676e-05,8.0,12.03921094791178,0.3539033280066648,12.0,0.00326757899264507,0.01626829079147518,-0.003267578992648623,0.01300152950643374,-0.0162682907914752,-8.177076793458582e-07,0.003266761285041664
3,1.806379090115676e-05,8.0,12.03904655492928,0.3863380210080054,12.0,0.003253879577415519,0.01619928080636595,-0.003253879577440314,0.01294622489458547,-0.01619928080636607,-8.236657578208906e-07,0.003253055911780489
3,1.806879090115676e-05,8.0,12.03888158364008,0.4186348716593835,12.0,0.003240131969993065,0.01613056410285238,-0.00324013197000698,0.01289125562644311,-0.01613056410285245,-8.234936288431527e-07,0.003239308476409519
3,1.807379090115676e-05,8.0,12.0387168763673,0.450794633385583,12.0,0.003226406363953549,0.01606213907790301,-0.003226406363941781,0.01283655375451226,-0.01606213907790295,-8.210405688657829e-07,0.003225585323390678
3,1.807879090115676e-05,8.0,12.038552718903,0.4828179453422372,12.0,0.003212726575267721,0.01599400437161226,-0.003212726575249736,0.01278209581086798,-0.01599400437161217,-8.180145449898646e-07,0.003211908560743826
3,1.808379090115676e-05,8.0,12.03838920692898,0.5147054060296201,12.0,0.003199100577396807,0.01592615871057528,-0.003199100577414793,0.01272787273903914,-0.01592615871057537,-8.146059826685814e-07,0.003198285971536485
3,1.808879090115676e-05,8.0,12.03822637118918,0.5464575984466042,12.0,0.003185530932438674,0.01585860085436893,-0.003185530932431716,0.012673881194528,-0.01585860085436889,-8.112726490594468e-07,0.003184719659841129
3,1.809379090115676e-05,8.0,12.03806422025369,0.5780750986911272,12.0,0.003172018354499873,0.01579132957725292,-0.003172018354473819,0.01262011900115428,-0.01579132957725279,-8.077783775206626e-07,0.003171210576098371
3,1.809879090115676e-05,8.0,12.037902755125,0.6095584789045478,12.0,0.003158562927084496,0.01572434366190522,-0.00315856292708346,0.01256658516963477,-0.01572434366190521,-8.044349186775435e-07,0.00315775849227018
3,1.810379090115676e-05,8.0,12.03774197422933,0.6409083082845848,12.0,0.003145164519131383,0.01565764189726684,-0.003145164519110584,0.01251327833443727,-0.01565764189726673,-8.00956279078946e-07,0.003144363562829433
3,1.810879090115676e-05,8.0,12.03758187511991,0.672125153437761,12.0,0.003131822926648153,0.015591223077792,-0.003131822926659478,0.01246019778812224,-0.01559122307779206,-7.976370675066846e-07,0.003131025289669687
