case,frequency_real,frequency_imag,v(fb)_real,v(fb)_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(rg)_real,i(rg)_imag
1,79.43282347242791,0.0,0.9999979603407604,-0.000159967047246624,1.999996920679481,-0.0003199342544602953,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884108210645,7.998191295486925e-08,-1e-09,0.0,0.0009999989603387209,-1.599672072136713e-07,-0.0004999884108210645,7.998191295486925e-08,0.0009999979603407603,-1.59967047246624e-07
1,82.5404185268016,0.0,0.9999979582994786,-0.0001662253263333287,1.999996916596916,-0.0003324508188919838,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884098004503,8.311098948516273e-08,-1e-09,0.0,0.0009999989582974373,-1.662254925586551e-07,-0.0004999884098004503,8.311098948516273e-08,0.0009999979582994787,-1.662253263333287e-07
1,85.76958985908915,0.0,0.9999979560953532,-0.0001727284436745488,1.999996912188663,-0.0003454570600775413,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884086984152,8.63624826774957e-08,-1e-09,0.0,0.0009999989560933098,-1.727286164029925e-07,-0.0004999884086984152,8.63624826774957e-08,0.0009999979560953534,-1.727284436745488e-07
1,89.12509381337428,0.0,0.9999979537153936,-0.0001794859779018163,1.999996907428741,-0.0003589721352896106,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884075084643,8.974118175119917e-08,-1e-09,0.0,0.0009999989537133477,-1.794861573877943e-07,-0.0004999884075084643,8.974118175119917e-08,0.0009999979537153936,-1.794859779018163e-07
1,92.61187281287906,0.0,0.999997951145572,-0.0001865078823841801,1.999996902289096,-0.0003730159512762427,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884062235477,9.325206329056945e-08,-1e-09,0.0,0.0009999989511435235,-1.865080688920625e-07,-0.0004999884062235477,9.325206329056945e-08,0.000999997951145572,-1.865078823841801e-07
1,96.23506263980856,0.0,0.9999979483707426,-0.0001938044998887255,1.999996896739434,-0.0003876091935819511,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884048361714,9.69002985750099e-08,-1e-09,0.0,0.0009999989483686915,-1.938046936932255e-07,-0.0004999884048361714,9.69002985750099e-08,0.0009999979483707427,-1.938044998887255e-07
1,99.99999999999969,0.0,0.9999979453745508,-0.0002013865778146382,1.999996890747048,-0.0004027733570158542,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884033380919,1.006912611959137e-07,-1e-09,0.0,0.0009999989453724969,-2.01386779201216e-07,-0.0004999884033380919,1.006912611959137e-07,0.0009999979453745509,-2.013865778146382e-07
1,103.9122303835166,0.0,0.9999979421393373,-0.0002092652840232498,1.999996884276617,-0.0004185307773117836,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884017205247,1.046305349714789e-07,-1e-09,0.0,0.00099999894213728,-2.092654932885338e-07,-0.0004999884017205247,1.046305349714789e-07,0.0009999979421393373,-2.092652840232498e-07
1,107.9775162327706,0.0,0.9999979386460341,-0.0002174522232873788,1.999996877290007,-0.0004349046640269809,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883999739219,1.087239221712892e-07,-1e-09,0.0,0.000999998938643973,-2.174524407396021e-07,-0.0004999883999739219,1.087239221712892e-07,0.0009999979386460342,-2.174522232873788e-07
1,112.201845430196,0.0,0.9999979348740522,-0.0002259594543841963,1.99999686974604,-0.0004519191347278471,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883980879583,1.129774520624979e-07,-1e-09,0.0,0.0009999989348719873,-2.259596803436508e-07,-0.0004999883980879583,1.129774520624979e-07,0.0009999979348740522,-2.259594543841963e-07
1,116.5914401179828,0.0,0.99999793080116,-0.0002347995078567875,1.999996861600251,-0.000469599250513083,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883960515872,1.173973897905033e-07,-1e-09,0.0,0.0009999989307990908,-2.347997426562955e-07,-0.0004999883960515872,1.173973897905033e-07,0.00099999793080116,-2.347995078567875e-07
1,121.1527658628584,0.0,0.9999979264033517,-0.0002439854044705716,1.99999685280463,-0.0004879710529265479,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883938527211,1.219902456068787e-07,-1e-09,0.0,0.0009999989264012786,-2.439856484559763e-07,-0.0004999883938527211,1.219902456068787e-07,0.0009999979264033517,-2.439854044705716e-07
1,125.8925411794163,0.0,0.9999979216547082,-0.0002535306743917605,1.999996843307339,-0.0005070616023141955,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883914784398,1.267627844585268e-07,-1e-09,0.0,0.0009999989216526303,-2.53530927922435e-07,-0.0004999883914784398,1.267627844585268e-07,0.0009999979216547084,-2.535306743917605e-07
1,130.8177474260189,0.0,0.9999979165272406,-0.0002634493771161024,1.999996833052398,-0.0005268990176815819,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883889147544,1.317220359517418e-07,-1e-09,0.0,0.0009999989165251574,-2.634496405654796e-07,-0.0004999883889147544,1.317220359517418e-07,0.0009999979165272407,-2.634493771161024e-07
1,135.9356390878521,0.0,0.9999979109907283,-0.0002737561221772603,1.999996821979368,-0.0005475125181106429,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883861465243,1.368753047062693e-07,-1e-09,0.0,0.00099999891098864,-2.737563959333826e-07,-0.0004999883861465243,1.368753047062693e-07,0.0009999979109907282,-2.737561221772603e-07
1,141.2537544622749,0.0,0.9999979050125404,-0.0002844660906653259,1.999996810022986,-0.0005689324657967426,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883831575125,1.422301811142844e-07,-1e-09,0.0,0.0009999989050104457,-2.844663751314167e-07,-0.0004999883831575125,1.422301811142844e-07,0.0009999979050125405,-2.844660906653259e-07
1,146.7799267622064,0.0,0.9999978985574413,-0.0002955950575871554,1.999996797112781,-0.0005911904107693685,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883799300386,1.477945525203969e-07,-1e-09,0.0,0.0009999988985553401,-2.955953531822131e-07,-0.0004999883799300386,1.477945525203969e-07,0.0009999978985574412,-2.955950575871554e-07
1,152.5222956539013,0.0,0.9999978915873856,-0.0003071594151014632,1.999996783172663,-0.0006143191373623416,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883764450902,1.535766148389283e-07,-1e-09,0.0,0.0009999988915852776,-3.071597222608783e-07,-0.0004999883764450902,1.535766148389283e-07,0.0009999978915873856,-3.071594151014632e-07
1,158.4893192461107,0.0,0.9999978840612931,-0.0003191761966628883,1.99999676812047,-0.0006383527125019733,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999883726821142,1.595848846256456e-07,-1e-09,0.0,0.0009999988840591774,-3.191765158390851e-07,-0.0004999883726821142,1.595848846256456e-07,0.000999997884061293,-3.191761966628883e-07
