case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
1,56.23413251903477,0.0,1.0,0.0,0.8713603312256273,-5.039227620340843e-07,0.0,0.0,-0.001853958151543488,1.072176089433992e-09,0.001853958151543488,-1.072176089433992e-09,0.0,0.0,0.001853958151543888,-1.072176089434222e-09
1,58.43414133735162,0.0,1.0,0.0,0.8713603312256041,-5.236373814398255e-07,0.0,0.0,-0.001853958151543436,1.114122088169602e-09,0.001853958151543436,-1.114122088169602e-09,0.0,0.0,0.001853958151543838,-1.114122088169841e-09
1,60.7202195690987,0.0,1.0,0.0,0.871360331225579,-5.44123282175951e-07,0.0,0.0,-0.001853958151543384,1.157709111012414e-09,0.001853958151543384,-1.157709111012414e-09,0.0,0.0,0.001853958151543785,-1.157709111012662e-09
1,63.09573444801917,0.0,1.0,0.0,0.8713603312255519,-5.6541063854501e-07,0.0,0.0,-0.001853958151543324,1.203001358606154e-09,0.001853958151543324,-1.203001358606154e-09,0.0,0.0,0.001853958151543727,-1.203001358606404e-09
1,65.56418494179772,0.0,1.0,0.0,0.8713603312255225,-5.875308053377849e-07,0.0,0.0,-0.001853958151543265,1.250065543271625e-09,0.001853958151543265,-1.250065543271625e-09,0.0,0.0,0.001853958151543665,-1.250065543271883e-09
1,68.12920690579594,0.0,1.0,0.0,0.871360331225491,-6.1051636401671e-07,0.0,0.0,-0.001853958151543198,1.298970987269315e-09,0.001853958151543198,-1.298970987269315e-09,0.0,0.0,0.001853958151543598,-1.298970987269596e-09
1,70.7945784384136,0.0,1.0,0.0,0.8713603312254569,-6.344011707060893e-07,0.0,0.0,-0.001853958151543122,1.349789724906281e-09,0.001853958151543122,-1.349789724906281e-09,0.0,0.0,0.001853958151543525,-1.349789724906573e-09
1,73.56422544596393,0.0,1.0,0.0,0.8713603312254199,-6.592204060598115e-07,0.0,0.0,-0.001853958151543046,1.402596608637602e-09,0.001853958151543046,-1.402596608637602e-09,0.0,0.0,0.001853958151543447,-1.402596608637897e-09
1,76.44222742525982,0.0,1.0,0.0,0.8713603312253801,-6.850106270799969e-07,0.0,0.0,-0.001853958151542962,1.457469419318822e-09,0.001853958151542962,-1.457469419318822e-09,0.0,0.0,0.001853958151543362,-1.457469419319142e-09
1,79.43282347242791,0.0,1.0,0.0,0.8713603312253373,-7.118098209629052e-07,0.0,0.0,-0.001853958151542868,1.514488980771804e-09,0.001853958151542868,-1.514488980771804e-09,0.0,0.0,0.001853958151543271,-1.514488980772139e-09
