case,time,v(out),v(sum),v(vn),v(drive),v(in),v(vp),i(vp),i(vin),i(rf),i(d1),i(vn),i(ri),i(d2),i(rl)
3,0.003787457780453985,1.945094499662742,4.528998149177319e-05,-12.0,2.480655599716818,-1.944863625980296,12.0,-0.001331633852052098,0.0001944908915961763,0.000194504920968125,0.0003890143709339711,0.0009426584065188973,-0.0001944908915961788,1.402932665632101e-08,0.0001945094499662742
3,0.003787657780453986,1.944508260650016,4.554184486932509e-05,-12.0,2.480056087897207,-1.944276026643779,12.0,-0.00133157821426576,0.0001944321568488622,0.0001944462718805147,0.0003888970979448736,0.0009427201213584011,-0.0001944321568488648,1.41149861081292e-08,0.0001944508260650017
3,0.003787857780453986,1.943918951201101,4.579363226293636e-05,-12.0,2.479453432074465,-1.943685357030032,12.0,-0.001331522285454635,0.0001943731150662265,0.0001943873157568838,0.0003887792108758781,0.0009427821592196946,-0.0001943731150662295,1.42006448607964e-08,0.0001943918951201101
3,0.003788057780453986,1.943326572264556,4.604535991944888e-05,-12.0,2.478847633152705,-1.943091618071801,12.0,-0.001331466065564683,0.0001943137663431688,0.0001943280526904637,0.0003886607099157224,0.0009428445198621094,-0.000194313766343172,1.428630124624368e-08,0.0001943326572264556
3,0.003788257780453986,1.942731124760588,4.629701086543034e-05,-12.0,2.478238692007413,-1.942494810706676,12.0,-0.001331409554821944,0.0001942541107717512,0.0001942684827749723,0.0003885415952509241,0.0009429072033300543,-0.0001942541107717541,1.437195692109808e-08,0.0001942731124760588
3,0.003788457780453986,1.942132609647438,4.654860132644122e-05,-12.0,2.477626609551839,-1.941894935877105,12.0,-0.001331352753180622,0.0001941941484478404,0.0001942086061046112,0.0003884218670680006,0.0009429702093771155,-0.0001941941484478431,1.445761021951684e-08,0.0001942132609647438
3,0.003788657780453986,1.941531027855046,4.680011435828628e-05,-12.0,2.477011386670655,-1.941291994530369,12.0,-0.001331295660866841,0.0001941338794644702,0.0001941484227740688,0.0003883015255601308,0.0009430335380469105,-0.0001941338794644727,1.454326279592472e-08,0.0001941531027855046
3,0.003788857780453986,1.940926380351339,4.705156618289491e-05,-12.0,2.476393024286248,-1.940685987618592,12.0,-0.001331238277832169,0.0001940733039184735,0.0001940879328785157,0.000388180570913832,0.0009430971890947466,-0.0001940733039184775,1.462891298668125e-08,0.000194092638035134
3,0.0037890577804539863,1.940318668075855,4.730293980724182e-05,-12.0,2.475771523292337,-1.940076916098745,12.0,-0.001331180604299539,0.0001940124219038522,0.0001940271365136048,0.0003880590033200626,0.0009431611625658374,-0.0001940124219038552,1.471456244665163e-08,0.0001940318668075855
3,0.003789257780453986,1.939707892006312,4.755425152666452e-05,-12.0,2.475146884620551,-1.939464780932635,12.0,-0.001331122640222597,0.0001939512335184137,0.0001939660337754786,0.0003879368229742219,0.0009432254582140048,-0.0001939512335184162,1.480020950809575e-08,0.0001939707892006313
3,0.003789457780453987,1.939094053091903,4.780548431526585e-05,-12.0,2.474519109173713,-1.938849583086904,12.0,-0.001331064385837572,0.0001938897388571185,0.0001939046247607588,0.0003878140300672683,0.0009432900760743042,-0.0001938897388571219,1.488585583126595e-08,0.0001939094053091903
3,0.003789657780453987,1.938477152319934,4.805665443245897e-05,-12.0,2.473888197892487,-1.938231323533036,12.0,-0.001331005841087704,0.000193827938018744,0.0001938429095665501,0.0003876906247968215,0.000943355015907871,-0.0001938279380187469,1.497149974662642e-08,0.0001938477152319934
3,0.003789857780453987,1.937857190649383,4.830774491908036e-05,-12.0,2.473254151688927,-1.937610003247348,12.0,-0.001330947006209581,0.0001937658310992243,0.0001937808882904464,0.0003875666073582806,0.0009434202777487337,-0.0001937658310992267,1.505714291182063e-08,0.0001937857190649383
3,0.0037900577804539873,1.937234169077197,4.855877200240586e-05,-12.0,2.472616971512778,-1.936985623210987,12.0,-0.001330887881151578,0.0001937034181982966,0.0001937185610305194,0.0003874419779381633,0.0009434858613543917,-0.0001937034181982989,1.514278366188674e-08,0.0001937234169077197
3,0.003790257780453987,1.936608088571982,4.880971871848637e-05,-12.0,2.471976658285167,-1.936358184409934,12.0,-0.001330828466152976,0.0001936406994128619,0.0001936559278853263,0.0003873167367407504,0.0009435517667562503,-0.0001936406994128653,1.522842365145278e-08,0.0001936608088571982
3,0.003790457780453987,1.935978950140343,4.906060127970407e-05,-12.0,2.471333212964942,-1.935727687835005,12.0,-0.001330768761157458,0.0001935776748436261,0.0001935929889539064,0.0003871908839658822,0.0009436179937150984,-0.0001935776748436285,1.531406121731875e-08,0.0001935978950140344
3,0.0037906577804539873,1.935346754760635,4.931140278435486e-05,-12.0,2.470686636482418,-1.935094134481837,12.0,-0.001330708766401198,0.0001935143445884602,0.0001935297443357851,0.0003870644198133988,0.0009436845422637984,-0.0001935143445884621,1.5399698011741e-08,0.0001935346754760635
